,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
12,Leonardo,Damiani,Leonardo Damiani,Puppy,"5' 10""",170 lbs.,--,,10,2,1,,#N/A
13,Rodrigo,Damm,Rodrigo Damm,,"5' 7""",155 lbs.,"71.0""",Orthodox,13,9,0,,#N/A
14,Carina,Damm,Carina Damm,Beauty But the Beast,"5' 4""",135 lbs.,--,,2,13,0,,#N/A
15,Danaa,Batgerel,Danaa Batgerel,Storm,"5' 7""",135 lbs.,"70.0""",Orthodox,9,2,0,,#N/A
16,Cindy,Dandois,Cindy Dandois,Battlecat,"5' 7""",135 lbs.,--,Orthodox,8,3,0,,#N/A
17,Jarjis,Danho,Jarjis Danho,Man Mountain,"6' 3""",265 lbs.,"74.0""",Orthodox,7,1,1,,#N/A
18,Raymond,Daniels,Raymond Daniels,,"6' 2""",185 lbs.,--,Southpaw,0,1,0,,#N/A
19,Marques,Daniels,Marques Daniels,,--,155 lbs.,--,,5,5,0,,#N/A
20,Alexandre,Dantas,Alexandre Dantas,Cafe,"6' 2""",238 lbs.,--,Orthodox,0,3,0,,#N/A
21,Eduardo,Dantas,Eduardo Dantas,Dudu,"5' 10""",135 lbs.,--,,20,4,0,,#N/A
22,Mac,Danzig,Mac Danzig,,"5' 8""",155 lbs.,"70.0""",Orthodox,21,12,1,,#N/A
23,Karen,Darabedyan,Karen Darabedyan,,"5' 7""",155 lbs.,"68.0""",Orthodox,13,6,0,,#N/A
24,Beneil,Dariush,Beneil Dariush,,"5' 10""",155 lbs.,"72.0""",Southpaw,21,4,1,,#N/A
25,Sean,Daugherty,Sean Daugherty,,"6' 0""",175 lbs.,--,,0,2,0,,#N/A
26,Kyle,Daukaus,Kyle Daukaus,,"6' 3""",185 lbs.,"76.0""",Southpaw,10,2,0,,#N/A
27,Chris,Daukaus,Chris Daukaus,,"6' 3""",250 lbs.,"76.0""",Orthodox,11,3,0,,#N/A
28,Brian,Davidson,Brian Davidson,,"5' 6""",145 lbs.,--,,13,4,0,,#N/A
29,Rick,Davis,Rick Davis,The Flying Squirrel,"5' 9""",155 lbs.,--,Orthodox,3,1,1,,#N/A
30,Marcus,Davis,Marcus Davis,The Irish Hand Grenade,"5' 10""",170 lbs.,"70.0""",Southpaw,22,11,0,,#N/A
31,LC,Davis,LC Davis,,"5' 8""",135 lbs.,"69.0""",Southpaw,23,8,0,,#N/A
32,Phil,Davis,Phil Davis,Mr. Wonderful,"6' 2""",205 lbs.,"79.0""",Orthodox,17,4,0,,#N/A
33,Lemont,Davis,Lemont Davis,,"5' 8""",170 lbs.,--,Orthodox,2,6,0,,#N/A
34,Mike,Davis,Mike Davis,,--,--,--,,2,0,0,,#N/A
35,Justin,Davis,Justin Davis,Dangerous,"5' 11""",205 lbs.,--,,13,16,0,,#N/A
36,Alexis,Davis,Alexis Davis,,"5' 6""",135 lbs.,"68.0""",Orthodox,20,10,0,,#N/A
37,Danny,Davis,Danny Davis,,"6' 2""",170 lbs.,--,,13,11,1,,#N/A
38,Brandon,Davis,Brandon Davis,Killer B,"5' 10""",135 lbs.,"72.0""",Orthodox,10,8,0,,#N/A
39,Mike,Davis,Mike Davis,Beast Boy,"6' 0""",145 lbs.,"72.0""",Orthodox,9,2,0,,#N/A
40,Hakeem,Dawodu,Hakeem Dawodu,Mean,"5' 8""",145 lbs.,"73.0""",Orthodox,12,1,1,,#N/A
41,Grant,Dawson,Grant Dawson,KGD,"5' 10""",145 lbs.,"72.0""",Switch,17,1,0,,#N/A
42,Jason,Day,Jason Day,Dooms,"6' 0""",185 lbs.,"72.0""",Orthodox,19,12,0,,#N/A
43,Martin,Day,Martin Day,The Spartan,"5' 10""",145 lbs.,"73.0""",Orthodox,8,6,0,,#N/A
44,Angel,De Anda,Angel De Anda,The Dream,"5' 9""",225 lbs.,--,Orthodox,18,6,0,,#N/A
45,Yorgan,De Castro,Yorgan De Castro,The Mad Titan,"6' 0""",250 lbs.,"74.0""",Orthodox,6,3,0,,#N/A
46,Geraldo,de Freitas,Geraldo de Freitas,Spartan,"5' 7""",135 lbs.,"72.0""",Orthodox,12,6,0,,#N/A
47,Philip,De Fries,Philip De Fries,,"6' 5""",250 lbs.,"79.0""",Orthodox,12,6,0,,#N/A
48,Chris,de la Rocha,Chris de la Rocha,,"6' 3""",250 lbs.,"80.0""",Orthodox,5,3,0,,#N/A
49,Montana,De La Rosa,Montana De La Rosa,,"5' 7""",125 lbs.,"68.0""",Orthodox,11,6,1,,#N/A
50,Mark,De La Rosa,Mark De La Rosa,Bumblebee,"5' 6""",135 lbs.,"65.0""",Orthodox,11,5,0,,#N/A
51,Mike,de la Torre,Mike de la Torre,El Cucuy,"5' 11""",145 lbs.,"71.0""",Orthodox,14,7,0,,#N/A
52,Rodrigo,de Lima,Rodrigo de Lima,Monstro,"5' 7""",155 lbs.,--,Orthodox,8,3,1,,#N/A
53,Edilberto,de Oliveira,Edilberto de Oliveira,Crocota,"6' 0""",170 lbs.,--,Orthodox,29,15,2,,#N/A
54,Johil,de Oliveira,Johil de Oliveira,,"5' 6""",170 lbs.,--,Orthodox,17,15,1,,#N/A
55,Jorge,de Oliveira,Jorge de Oliveira,Blade,"5' 8""",155 lbs.,--,Orthodox,9,2,0,,#N/A
56,Maria,De Oliveira Neta,Maria De Oliveira Neta,,"5' 5""",115 lbs.,--,Orthodox,10,5,0,,#N/A
57,Isabela,de Padua,Isabela de Padua,Belinha,"5' 3""",125 lbs.,"64.0""",Orthodox,5,2,0,,#N/A
58,Gloria,de Paula,Gloria de Paula,Glorinha,"5' 5""",115 lbs.,"67.0""",Orthodox,5,3,0,,#N/A
59,Germaine,de Randamie,Germaine de Randamie,The Iron Lady,"5' 9""",135 lbs.,"71.0""",Orthodox,10,4,0,,#N/A
60,Crezio,de Souza,Crezio de Souza,,--,170 lbs.,--,Orthodox,1,2,0,,#N/A
61,Tom,DeBlass,Tom DeBlass,,"6' 0""",185 lbs.,--,Orthodox,9,2,0,,#N/A
62,Issac,DeJesus,Issac DeJesus,,--,145 lbs.,--,,12,7,1,,#N/A
63,Rafael,Del Real,Rafael Del Real,,"5' 11""",225 lbs.,--,,6,20,0,,#N/A
64,Shane,del Rosario,Shane del Rosario,,"6' 4""",250 lbs.,--,Southpaw,11,2,0,,#N/A
65,Humberto,DeLeon,Humberto DeLeon,,--,135 lbs.,--,,7,7,0,,#N/A
66,Rolando,Delgado,Rolando Delgado,Roli,"6' 3""",155 lbs.,"77.0""",Orthodox,11,6,1,,#N/A
67,Israel,Delgado,Israel Delgado,,"5' 10""",155 lbs.,--,,0,2,0,,#N/A
68,Ante,Delija,Ante Delija,Walking Trouble,"6' 4""",245 lbs.,--,Orthodox,17,3,0,,#N/A
69,Jack,Della,Jack Della,,"5' 11""",170 lbs.,--,,9,2,0,,#N/A
70,Roland,Delorme,Roland Delorme,,"5' 9""",135 lbs.,"71.0""",Orthodox,9,5,0,,#N/A
71,Jon,Delos Reyes,Jon Delos Reyes,The Heat,"5' 6""",125 lbs.,"67.0""",Orthodox,8,5,0,,#N/A
72,Jason,DeLucia,Jason DeLucia,,"5' 11""",190 lbs.,--,Southpaw,33,21,1,,#N/A
73,Justin,DeMoney,Justin DeMoney,,--,170 lbs.,--,,15,7,1,,#N/A
74,Vanessa,Demopoulos,Vanessa Demopoulos,Lil Monster,"5' 2""",115 lbs.,"59.0""",Orthodox,5,2,0,,#N/A
75,Chris,Dempsey,Chris Dempsey,,"5' 10""",185 lbs.,"72.0""",Orthodox,11,5,0,,#N/A
76,Nick,Denis,Nick Denis,The Ninja of Love,"5' 7""",135 lbs.,--,Orthodox,11,3,0,,#N/A
77,Thomas,Denny,Thomas Denny,The Wildman,"5' 10""",170 lbs.,--,Orthodox,27,21,1,,#N/A
78,Robert,Densley,Robert Densley,The Wrecker,"5' 9""",155 lbs.,--,,9,10,0,,#N/A
79,Jason,Dent,Jason Dent,Dynamite,"5' 10""",155 lbs.,"71.0""",Orthodox,22,13,0,,#N/A
80,Mackenzie,Dern,Mackenzie Dern,,"5' 4""",115 lbs.,"63.0""",Orthodox,11,1,0,,#N/A
81,Booker,DeRousse,Booker DeRousse,,"6' 2""",205 lbs.,--,,6,5,0,,#N/A
82,Tony,DeSouza,Tony DeSouza,,"6' 0""",170 lbs.,"70.0""",Southpaw,11,4,0,,#N/A
83,Cory,Devela,Cory Devela,The One,"5' 0""",185 lbs.,--,Orthodox,16,7,0,,#N/A
84,John,Devine,John Devine,,--,--,--,,6,4,0,,#N/A
85,Edwin,DeWees,Edwin DeWees,Babyface,"6' 1""",185 lbs.,--,Orthodox,38,17,0,,#N/A
86,Alessio,Di Chirico,Alessio Di Chirico,Manzo,"6' 0""",185 lbs.,"74.0""",Orthodox,13,5,0,,#N/A
87,Micol,Di Segni,Micol Di Segni,,"5' 3""",115 lbs.,"60.0""",Orthodox,7,3,0,,#N/A
88,Cyrille,Diabate,Cyrille Diabate,The Snake,"6' 6""",205 lbs.,"81.0""",Southpaw,19,10,1,,#N/A
89,Thomas,Diagne,Thomas Diagne,,"6' 1""",154 lbs.,--,,6,6,1,,#N/A
90,Marc,Diakiese,Marc Diakiese,Bonecrusher,"5' 10""",155 lbs.,"73.0""",Orthodox,14,4,0,,#N/A
91,Tyler,Diamond,Tyler Diamond,,"5' 7""",145 lbs.,"69.0""",Orthodox,9,1,0,,#N/A
92,Eldo Xavier,Dias,Eldo Xavier Dias,,"5' 11""",180 lbs.,--,,0,1,0,,#N/A
93,Rafael,Dias,Rafael Dias,,"5' 9""",145 lbs.,--,Orthodox,17,12,2,,#N/A
94,Hacran,Dias,Hacran Dias,Barnabe,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1,,#N/A
95,Nick,Diaz,Nick Diaz,,"6' 1""",185 lbs.,"76.0""",Southpaw,26,9,0,,#N/A
96,Nate,Diaz,Nate Diaz,,"6' 0""",170 lbs.,"76.0""",Southpaw,21,12,0,,#N/A
97,Michael,Diaz,Michael Diaz,,--,260 lbs.,--,,1,2,0,,#N/A
98,Ryan,Diaz,Ryan Diaz,,--,145 lbs.,--,,13,14,0,,#N/A
99,Adrian,Diaz,Adrian Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1,,#N/A
100,Mark,Dickman,Mark Dickman,Tricky,"5' 9""",145 lbs.,--,,11,3,0,,#N/A
101,Josh,Diekmann,Josh Diekmann,The Freight Train,"5' 4""",246 lbs.,--,,15,8,0,,#N/A
102,Kyle,Dietz,Kyle Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0,,#N/A
103,Seth,Dikun,Seth Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,,#N/A
104,TJ,Dillashaw,TJ Dillashaw,,"5' 6""",125 lbs.,"67.0""",Orthodox,17,4,0,,#N/A
105,Ralph,Dillon,Ralph Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1,,#N/A
106,Drew,Dimanlig,Drew Dimanlig,,--,185 lbs.,--,,3,4,0,,#N/A
107,Rodolfo Marques,Diniz,Rodolfo Marques Diniz,,"5' 6""",135 lbs.,--,,23,9,1,,#N/A
108,Helio,Dipp,Helio Dipp,,"6' 5""",185 lbs.,--,Orthodox,6,3,0,,#N/A
109,Rico,DiSciullo,Rico DiSciullo,,"5' 8""",135 lbs.,--,Orthodox,9,2,0,,#N/A
110,Matt,Dixon,Matt Dixon,Magic,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0,,#N/A
111,John,Dixson,John Dixson,Big John,"6' 0""",275 lbs.,--,Orthodox,15,22,0,,#N/A
112,Anthony,Do,Anthony Do,,"5' 4""",125 lbs.,--,,4,2,0,,#N/A
113,Russell,Doane,Russell Doane,,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0,,#N/A
114,Drew,Dober,Drew Dober,,"5' 8""",155 lbs.,"70.0""",Southpaw,23,10,0,,#N/A
115,Shana,Dobson,Shana Dobson,Danger,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,0,,#N/A
116,AJ,Dobson,AJ Dobson,,"6' 2""",170 lbs.,--,,5,0,0,,#N/A
117,David,Dodd,David Dodd,,"6' 2""",200 lbs.,--,Orthodox,4,7,0,,#N/A
118,John,Dodson,John Dodson,The Magician,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0,,#N/A
119,Joe,Doerksen,Joe Doerksen,El Dirte,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0,,#N/A
120,Mike,Dolce,Mike Dolce,Skull Cracker,"5' 11""",185 lbs.,--,,5,10,0,,#N/A
121,Roman,Dolidze,Roman Dolidze,,"6' 2""",205 lbs.,"76.0""",Orthodox,8,1,0,,#N/A
122,Cameron,Dollar,Cameron Dollar,,"5' 11""",155 lbs.,--,Orthodox,11,5,0,,#N/A
123,CB,Dollaway,CB Dollaway,The Doberman,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0,,#N/A
124,Dennis,Dombrow,Dennis Dombrow,,--,145 lbs.,--,,7,5,0,,#N/A
125,OJ,Dominguez,OJ Dominguez,,--,--,--,,0,1,0,,#N/A
126,John,Donaldson,John Donaldson,J.T.,"5' 8""",145 lbs.,--,,2,2,0,,#N/A
127,Cody,Donovan,Cody Donovan,Donnybrook,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0,,#N/A
128,Houston,Dorr,Houston Dorr,,"6' 1""",210 lbs.,--,Orthodox,1,2,0,,#N/A
129,Rafael,Dos Anjos,Rafael Dos Anjos,,"5' 8""",155 lbs.,"70.0""",Southpaw,30,13,0,,#N/A
130,Junior,Dos Santos,Junior Dos Santos,Cigano,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,0,,#N/A
131,Geronimo,dos Santos,Geronimo dos Santos,Mondragon,"6' 3""",264 lbs.,--,Orthodox,39,19,0,,#N/A
132,Antonio,Dos Santos,Antonio Dos Santos,Junior Alpha,"5' 10""",185 lbs.,--,Orthodox,6,4,0,,#N/A
133,Anderson,Dos Santos,Anderson Dos Santos,Berinja,"5' 5""",135 lbs.,"70.0""",Orthodox,21,8,0,,#N/A
134,Tiago,dos Santos e Silva,Tiago dos Santos e Silva,Trator,"5' 9""",145 lbs.,"70.0""",Orthodox,20,7,2,,#N/A
135,Oleksandr,Doskalchuk,Oleksandr Doskalchuk,,"5' 6""",125 lbs.,--,Southpaw,10,2,0,,#N/A
136,David,Douglas,David Douglas,Tarzan,"5' 11""",155 lbs.,--,,9,7,0,,#N/A
137,Damion,Douglas,Damion Douglas,,--,170 lbs.,--,,4,1,0,,#N/A
138,John,Dowdy,John Dowdy,,--,--,--,,0,1,0,,#N/A
139,Jordan,Dowdy,Jordan Dowdy,,--,170 lbs.,--,,4,3,0,,#N/A
140,Danny,Downes,Danny Downes,,"6' 0""",155 lbs.,"72.0""",Orthodox,8,3,0,,#N/A
141,Derek,Downey,Derek Downey,,"6' 1""",185 lbs.,--,Orthodox,11,4,0,,#N/A
142,John,Doyle,John Doyle,The Iron Bull,"5' 11""",205 lbs.,--,Orthodox,11,22,0,,#N/A
143,Edson,Drago,Edson Drago,,"6' 4""",220 lbs.,--,Orthodox,11,7,0,,#N/A
144,Kyle,Driscoll,Kyle Driscoll,KD,"5' 11""",145 lbs.,"74.0""",Orthodox,12,3,0,,#N/A
145,Chris,Drumm,Chris Drumm,,"5' 8""",145 lbs.,--,,0,1,0,,#N/A
146,Tomasz,Drwal,Tomasz Drwal,Gorilla,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1,,#N/A
147,Robert,Drysdale,Robert Drysdale,,"6' 3""",205 lbs.,--,Orthodox,7,0,0,,#N/A
148,Dricus,Du Plessis,Dricus Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76.0""",Switch,15,2,0,,#N/A
149,Hugo,Duarte,Hugo Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0,,#N/A
150,Antonio,Duarte,Antonio Duarte,Tigre,"5' 7""",135 lbs.,--,,19,7,0,,#N/A
151,Joe,Duarte,Joe Duarte,,--,155 lbs.,--,,10,4,0,,#N/A
152,Milana,Dudieva,Milana Dudieva,,"5' 3""",135 lbs.,--,Orthodox,11,6,0,,#N/A
153,Adin,Duenas,Adin Duenas,,"5' 6""",145 lbs.,--,,6,1,0,,#N/A
154,Todd,Duffee,Todd Duffee,,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0,,#N/A
155,Joe,Duffy,Joe Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,,#N/A
156,Alexis,Dufresne,Alexis Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0,,#N/A
157,Jessamyn,Duke,Jessamyn Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0,,#N/A
158,Kelly,Dullanty,Kelly Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0,,#N/A
159,Norma,Dumont,Norma Dumont,The Immortal,"5' 7""",145 lbs.,"67.0""",Orthodox,5,1,0,,#N/A
160,Evan,Dunham,Evan Dunham,,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1,,#N/A
161,Alex,Dunworth,Alex Dunworth,,"5' 8""",155 lbs.,--,,2,2,0,,#N/A
162,Tom,Duquesnoy,Tom Duquesnoy,Fire Kid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0,,#N/A
163,Albert,Duraev,Albert Duraev,Machete,"5' 11""",170 lbs.,--,,13,3,0,,#N/A
164,Reuben,Duran,Reuben Duran,,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1,,#N/A
165,Cody,Durden,Cody Durden,,"5' 7""",125 lbs.,"67.0""",Southpaw,11,3,1,,#N/A
166,Luiz,Dutra,Luiz Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,13,6,1,,#N/A
167,Rilley,Dutro,Rilley Dutro,,"5' 8""",125 lbs.,--,Orthodox,11,4,0,,#N/A
168,Bill,Duvall,Bill Duvall,,"6' 2""",185 lbs.,--,Southpaw,1,2,0,,#N/A
169,Merab,Dvalishvili,Merab Dvalishvili,The Machine,"5' 6""",135 lbs.,"68.0""",Orthodox,13,4,0,,#N/A
170,David,Dvorak,David Dvorak,Undertaker,"5' 5""",125 lbs.,"68.0""",Orthodox,19,3,0,,#N/A
171,Matt,Dwyer,Matt Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0,,#N/A
172,Rolando,Dy,Rolando Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1,,#N/A
0,,, ,,,,,,,,,,#N/A
1,Ben,Earwood,Ben Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0,,#N/A
2,Cody,East,Cody East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0,,#N/A
3,Marvin,Eastman,Marvin Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1,,#N/A
4,Mike,Easton,Mike Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0,,#N/A
5,Maurice,Eazel,Maurice Eazel,,"5' 7""",135 lbs.,--,,7,15,0,,#N/A
6,Vincent,Eazelle,Vincent Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0,,#N/A
7,Ross,Ebanez,Ross Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0,,#N/A
8,Brian,Ebersole,Brian Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1,,#N/A
9,Mark,Eddiva,Mark Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,,#N/A
10,Frankie,Edgar,Frankie Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,9,1,,#N/A
11,Abdul-Kerim,Edilov,Abdul-Kerim Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0,,#N/A
12,Johnny,Eduardo,Johnny Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,12,0,,#N/A
13,Yves,Edwards,Yves Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1,,#N/A
14,Justin,Edwards,Justin Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0,,#N/A
15,Leon,Edwards,Leon Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,18,3,0,,#N/A
16,Te,Edwards,Te Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0,,#N/A
17,Adli,Edwards,Adli Edwards,,--,145 lbs.,--,,4,1,0,,#N/A
18,Joselyne,Edwards,Joselyne Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,10,3,0,,#N/A
19,Tom,Egan,Tom Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0,,#N/A
20,Stephanie,Egger,Stephanie Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,5,2,0,,#N/A
21,Justin,Eilers,Justin Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1,,#N/A
22,Jon Olav,Einemo,Jon Olav Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0,,#N/A
23,Per,Eklund,Per Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1,,#N/A
24,John,Elam,John Elam,,--,--,--,,2,0,0,,#N/A
25,John Paul,Elias,John Paul Elias,,"6' 4""",205 lbs.,--,,3,1,0,,#N/A
26,Saul,Elizondo,Saul Elizondo,,"5' 7""",135 lbs.,--,,6,8,0,,#N/A
27,Darren,Elkins,Darren Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,26,9,0,,#N/A
28,Jake,Ellenberger,Jake Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0,,#N/A
29,Joe,Ellenberger,Joe Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0,,#N/A
30,Tim,Elliott,Tim Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,18,11,1,,#N/A
31,Eddy,Ellis,Eddy Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1,,#N/A
32,Lisa,Ellis,Lisa Ellis,,"5' 4""",115 lbs.,--,,15,11,0,,#N/A
33,Anna,Elmose,Anna Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0,,#N/A
34,Cameron,Else,Cameron Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,5,0,,#N/A
35,Aaron,Ely,Aaron Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0,,#N/A
36,Sovannahry,Em,Sovannahry Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0,,#N/A
37,Ramazan,Emeev,Ramazan Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,4,0,,#N/A
38,Aleksander,Emelianenko,Aleksander Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0,,#N/A
39,Fedor,Emelianenko,Fedor Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0,,#N/A
40,Rob,Emerson,Rob Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0,,#N/A
41,Jamall,Emmers,Jamall Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,18,5,0,,#N/A
42,Josh,Emmett,Josh Emmett,,"5' 6""",145 lbs.,"70.0""",Orthodox,16,2,0,,#N/A
43,Marius,Enache,Marius Enache,,"5' 11""",155 lbs.,--,,3,3,0,,#N/A
44,Kevin,Engel,Kevin Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0,,#N/A
45,Oliver,Enkamp,Oliver Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0,,#N/A
46,Alex,Enlund,Alex Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0,,#N/A
47,Kenny,Ento,Kenny Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0,,#N/A
48,Ian,Entwistle,Ian Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0,,#N/A
49,Andy,Enz,Andy Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0,,#N/A
50,Won Jin,Eoh,Won Jin Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1,,#N/A
51,Josh,Epps,Josh Epps,,--,130 lbs.,--,,6,7,0,,#N/A
52,Tom,Erikson,Tom Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1,,#N/A
53,Konstantin,Erokhin,Konstantin Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0,,#N/A
54,Julian,Erosa,Julian Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,25,9,0,,#N/A
55,Nick,Ertl,Nick Ertl,,"5' 9""",155 lbs.,--,,8,6,0,,#N/A
56,Chel,Erwin-Davis,Chel Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,,#N/A
57,Bobby,Escalante,Bobby Escalante,,--,130 lbs.,--,,5,6,0,,#N/A
58,Eric,Esch,Eric Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,,#N/A
59,Pro,Escobedo,Pro Escobedo,,--,205 lbs.,--,,1,0,0,,#N/A
60,Cole,Escovedo,Cole Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,,#N/A
61,Efrain,Escudero,Efrain Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,,#N/A
62,Evan,Esguerra,Evan Esguerra,,--,145 lbs.,--,,8,7,0,,#N/A
63,Carla,Esparza,Carla Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,18,6,0,,#N/A
64,Juan,Espino,Juan Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",,11,2,0,,#N/A
65,Jordan,Espinosa,Jordan Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,,#N/A
66,Jodie,Esquibel,Jodie Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,,#N/A
67,Terry,Etim,Terry Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,,#N/A
68,Fred,Ettish,Fred Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,,#N/A
69,Scott,Ettling,Scott Ettling,,--,135 lbs.,--,,4,2,0,,#N/A
70,Sijara,Eubanks,Sijara Eubanks,Sarj,"5' 4""",135 lbs.,"67.0""",Orthodox,7,6,0,,#N/A
71,Billy,Evangelista,Billy Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,,#N/A
72,Rashad,Evans,Rashad Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,,#N/A
73,Doug,Evans,Doug Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,,#N/A
74,Ashlee,Evans-Smith,Ashlee Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,5,0,,#N/A
75,Dan,Evensen,Dan Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,,#N/A
76,Tonya,Evinger,Tonya Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,,#N/A
77,Movsar,Evloev,Movsar Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,14,0,0,,#N/A
78,Andre,Ewell,Andre Ewell,Mr. Highlight,"5' 8""",135 lbs.,"75.0""",Southpaw,17,7,0,,#N/A
79,Neal,Ewing,Neal Ewing,,--,185 lbs.,--,,6,0,0,,#N/A
